eng_id,eng_sen,spa_id,spa_sen,audio_id
403859,"If I could rearrange the alphabet, I would put U and I together.",690143,"Si pudiera reordenar el alfabeto, pondría la T y la Q juntas.",1123747
403860,I'm not good at multitasking.,1612871,No soy bueno para hacer varias cosas a la vez.,32210
414272,Any teacher that can be replaced by a machine should be.,627877,Cualquier profesor que pueda ser reemplazado por una máquina debería serlo.,911934
618394,No words can express how amazing you are.,1011397,No existen palabras para expresar lo increíble que eres.,906756
618396,It's rare to meet nice people like you.,1011395,Es difícil conocer a gente tan agradable como tú.,906757
618397,There is something very charming about you.,2945787,Hay algo muy encantador en ti.,911594
618401,It's the first time in my life I've felt so connected with someone.,618418,Es la primera vez en mi vida que me siento tan conectado con alguien.,344960
618405,You have very sexy legs.,618465,Tienes piernas muy sexy.,907498
4796852,Alex is non-binary.,5990784,Alex es no binarie.,1099772
4834651,You smell awful.,9443872,Hueles horrible.,270941
4834652,You smell terrible.,9071462,Hueles espantoso.,270942
4834656,You stink.,8844653,Apestas.,270943
5024707,Tom hates foreigners.,5024717,Tomás odia a los extranjeros.,276600
5379980,How much is a pack of cigarettes?,7942893,¿Cuánto cuesta un paquete de cigarrillos?,661485
5700706,The only good fascist is a dead fascist.,5711213,El único buen fascista es el fascista muerto.,1158686
5742704,Tom is a chauvinist.,5742761,Tom es un chovinista.,1249077
6168662,Mary cannot have children.,8006375,Mary no puede tener hijos.,1249085
6362828,All cats are beautiful.,8837471,Todos los gatos son hermosos.,1121331
6885046,Tom is afraid to tell the truth.,11554727,Tom tiene miedo de decir la verdad.,475615
7052915,That's the worst joke I've ever heard.,8096470,Es el peor chiste que he oído.,591486
7335526,"In spite of everything, Tom is happy.",10124585,"A pesar de todo, Tom es feliz.",536455
7463370,Tom has two siblings.,10124581,Tom tiene dos hermanos.,542639
7792164,"Even if that were true, why would it matter?",10336296,"Aunque fuera verdad, ¿por qué importaría?",582720
7958052,We live in a society.,9658487,Vivimos en una sociedad.,1114994
7969639,Tom isn't writing.,10124571,Tom no escribe.,621597
7975062,Tom isn't the brightest bulb on the porch.,10209180,Tom no es el más listo de todos.,788923
7977018,Seven minus two is five.,12180572,Siete menos dos es cinco.,635560
7983653,Tom doesn't like hot coffee.,8618270,A Tom no le gusta el café caliente.,633045
8037684,Every even number greater than 2 is the sum of two primes.,8302606,Cada número par mayor que 2 es la suma de dos primos.,648119
8037855,I really admire Tom's ability to answer questions.,9737633,En verdad admiro la capacidad de Tom para responder preguntas.,646255
8154862,Please clap.,9423064,"Aplaudan, por favor.",681201
8354675,Don't wake the cat.,11690886,No despiertes al gato.,717565
8419453,And that man was Albert Einstein.,8791236,Y ese hombre era Albert Einstein.,1110050
8487290,Socialism is when the government does stuff.,9757367,El socialismo es cuando el gobierno hace cosas.,1130457
8559363,Conspiracy theories were made up by the CIA to divert people's attention away from capitalism.,12400147,La CIA inventó conspiraciones para distraer a la gente del capitalismo.,1247211
8587996,I'm learning Ladino.,9980798,Estoy aprendiendo ladino.,1249215
8606090,I don't read the news.,12999629,Yo no leo las noticias.,784332
8612775,How do I get to Mexico City?,10067339,¿Cómo llego a Ciudad de México?,1140623
8734084,Communism will prevail.,12530686,El comunismo prevalecerá,1123666
8734149,You are a scoundrel.,9226043,Tú eres un rastrero.,1249228
